NODES
id,nombre,tipo,lat,lon,is_setp
N00,UAJS Sede E,universidad,9.3047,-75.3978,false
N01,UAJS Sede C,universidad,9.3051,-75.3961,false
N02,UNISUCRE,universidad,9.3120,-75.3900,false
N03,CECAR,universidad,9.3200,-75.3850,false
N04,IPS SEYSA,salud,9.3080,-75.3950,false
N05,Clinica Las Americas,salud,9.3060,-75.4010,false
N06,Hospital Universitario,salud,9.3150,-75.3920,false
N07,Estacion Central SETP,setp,9.3015,-75.3930,true
N08,Terminal de Transporte,movilidad,9.2980,-75.4020,false
N09,PEP Argelia,setp,9.3090,-75.4050,true
N10,PEP La Bastilla,setp,9.3170,-75.3870,true
N11,PEP Los Libertadores,setp,9.3220,-75.3810,true
N12,PEP Las Colinas,setp,9.3250,-75.3780,true
N13,Av. Alfonso Lopez,movilidad,9.3040,-75.3990,false
N14,Calle 30 Troncal,movilidad,9.3100,-75.3960,false
N15,Glorieta Sincelejito,setp,9.3010,-75.3940,true
N16,Parque Santander,referencia,9.3055,-75.3945,false
N17,Mercado de Sincelejo,referencia,9.3070,-75.3930,false
N18,Barrio Puerta Roja,referencia,9.3130,-75.3910,false
N19,El Pescador,referencia,9.3190,-75.3860,false

EDGES
origen,destino,tiempo_min,capacidad,bidireccional,is_setp
N00,N01,4,550,true,false
N00,N13,8,300,true,false
N01,N07,4,550,true,true
N01,N16,3,400,true,false
N01,N02,6,350,true,false
N02,N14,5,400,true,false
N02,N18,7,300,true,false
N03,N11,8,300,true,true
N03,N19,6,280,true,false
N04,N07,5,500,true,true
N04,N13,4,350,true,false
N05,N09,6,450,true,true
N05,N13,5,350,true,false
N06,N14,4,400,true,false
N06,N18,5,320,true,false
N07,N15,1,600,true,true
N07,N16,2,600,true,true
N07,N17,2,600,true,true
N07,N08,3,500,true,true
N07,N09,4,480,true,true
N08,N13,6,300,true,false
N09,N05,6,450,true,true
N09,N10,10,460,true,true
N10,N11,8,440,true,true
N10,N18,6,300,true,true
N11,N12,5,420,true,true
N11,N03,8,300,true,true
N12,N19,7,400,true,true
N13,N14,5,350,true,false
N14,N17,4,400,true,false
N15,N16,2,550,true,true
N16,N17,3,500,true,false
N17,N18,5,350,true,false
N18,N19,6,320,true,false
